wiki_bot - 25-08-24 | 15:56:14 - INFO - Normalizing the information...
wiki_bot - 25-08-24 | 15:56:14 - INFO - Fetching the country in the database...
wiki_bot - 25-08-24 | 15:56:14 - INFO - Country fetched succesfully!
wiki_bot - 25-08-24 | 15:56:14 - INFO - Connection was established succesfully to the url: https://en.wikipedia.org//wiki/Angola
wiki_bot - 25-08-24 | 15:56:15 - INFO - Normalizing the information...
wiki_bot - 25-08-24 | 15:56:15 - INFO - Fetching the country in the database...
wiki_bot - 25-08-24 | 15:56:15 - INFO - Country fetched succesfully!
wiki_bot - 25-08-24 | 15:56:15 - INFO - Connection was established succesfully to the url: https://en.wikipedia.org//wiki/Mali
wiki_bot - 25-08-24 | 15:56:16 - INFO - Normalizing the information...
wiki_bot - 25-08-24 | 15:56:16 - INFO - Fetching the country in the database...
wiki_bot - 25-08-24 | 15:56:16 - INFO - Country fetched succesfully!
wiki_bot - 25-08-24 | 15:56:16 - INFO - Connection was established succesfully to the url: https://en.wikipedia.org//wiki/South_Africa
wiki_bot - 25-08-24 | 15:56:17 - INFO - Normalizing the information...
wiki_bot - 25-08-24 | 15:56:17 - INFO - Fetching the country in the database...
wiki_bot - 25-08-24 | 15:56:17 - INFO - Country fetched succesfully!
wiki_bot - 25-08-24 | 15:56:18 - INFO - Connection was established succesfully to the url: https://en.wikipedia.org//wiki/Colombia
wiki_bot - 25-08-24 | 15:56:19 - INFO - Normalizing the information...
wiki_bot - 25-08-24 | 15:56:19 - INFO - Fetching the country in the database...
wiki_bot - 25-08-24 | 15:56:19 - INFO - Country fetched succesfully!
wiki_bot - 25-08-24 | 15:56:19 - INFO - Connection was established succesfully to the url: https://en.wikipedia.org//wiki/Ethiopia
wiki_bot - 25-08-24 | 15:56:20 - INFO - Normalizing the information...
wiki_bot - 25-08-24 | 15:56:20 - INFO - Fetching the country in the database...
wiki_bot - 25-08-24 | 15:56:20 - INFO - Country fetched succesfully!
wiki_bot - 25-08-24 | 15:56:21 - INFO - Connection was established succesfully to the url: https://en.wikipedia.org//wiki/Bolivia
wiki_bot - 25-08-24 | 15:56:21 - INFO - Normalizing the information...
wiki_bot - 25-08-24 | 15:56:21 - INFO - Fetching the country in the database...
wiki_bot - 25-08-24 | 15:56:21 - INFO - Country fetched succesfully!
wiki_bot - 25-08-24 | 15:56:22 - INFO - Connection was established succesfully to the url: https://en.wikipedia.org//wiki/Mauritania
wiki_bot - 25-08-24 | 15:56:22 - INFO - Normalizing the information...
wiki_bot - 25-08-24 | 15:56:22 - INFO - Fetching the country in the database...
wiki_bot - 25-08-24 | 15:56:22 - INFO - Country fetched succesfully!
wiki_bot - 25-08-24 | 15:56:23 - INFO - Connection was established succesfully to the url: https://en.wikipedia.org//wiki/Egypt
wiki_bot - 25-08-24 | 15:56:24 - INFO - Normalizing the information...
wiki_bot - 25-08-24 | 15:56:24 - INFO - Fetching the country in the database...
wiki_bot - 25-08-24 | 15:56:24 - INFO - Country fetched succesfully!
wiki_bot - 25-08-24 | 15:56:24 - INFO - Connection was established succesfully to the url: https://en.wikipedia.org//wiki/Tanzania
wiki_bot - 25-08-24 | 15:56:25 - INFO - Normalizing the information...
wiki_bot - 25-08-24 | 15:56:25 - INFO - Fetching the country in the database...
wiki_bot - 25-08-24 | 15:56:25 - INFO - Country fetched succesfully!
wiki_bot - 25-08-24 | 15:56:25 - INFO - Connection was established succesfully to the url: https://en.wikipedia.org//wiki/Nigeria
wiki_bot - 25-08-24 | 15:56:26 - INFO - Normalizing the information...
wiki_bot - 25-08-24 | 15:56:26 - INFO - Fetching the country in the database...
wiki_bot - 25-08-24 | 15:56:26 - INFO - Country fetched succesfully!
wiki_bot - 25-08-24 | 15:56:26 - INFO - Connection was established succesfully to the url: https://en.wikipedia.org//wiki/Venezuela
wiki_bot - 25-08-24 | 15:56:27 - INFO - Normalizing the information...
wiki_bot - 25-08-24 | 15:56:27 - INFO - Fetching the country in the database...
wiki_bot - 25-08-24 | 15:56:27 - INFO - Country fetched succesfully!
